parent,child
phenotype,L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport
gender,Bacteroides
gender,Faecalibacterium
gender,Granulicatella
phenotype,BetaineGlycinebetaineConsumptionimport
gender,PropanoatePropionateConsumptionimport
phenotype,DeoxycholicacidProductionexport
gender,Lachnoclostridium
gender,TaurochenodeoxycholateConsumptionimport
gender,CelluloseBeta-D-glucanMacromoleculedegradation
gender,Fusobacterium
gender,Enorma
gender,CitrateConsumptionimport
gender,FolicacidFolateVitaminB9Consumptionimportproductionexport
phenotype,Adlercreutzia
gender,ArabinogalactanMacromoleculedegradation
gender,PhenylacetateProductionexport
phenotype,FolicacidFolateVitaminB9Consumptionimport
phenotype,Fusobacterium
gender,4-Aminobenzoatepara-aminoBenzoicacidConsumptionimport
phenotype,D-GalacturonateConsumptionimport
phenotype,Phocaeicola
phenotype,ArabinogalactanMacromoleculedegradation
gender,D-GalactoseConsumptionimport
gender,Leyella
phenotype,N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport
phenotype,L-PhenylalaninePhenylalanineD-PhenylalanineConsumptionimport
gender,NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimportproductionexport
phenotype,Leyella
gender,Gemella
gender,Gordonibacter
phenotype,cis-Aconitatetrans-Aconitatetrans-AconiticacidConsumptionimport
gender,BiotinVitaminB7Productionexport
phenotype,Indole-3-acetateIndoleacetateConsumptionimportproductionexport
phenotype,Parvimonas
phenotype,D-GluconateD-GluconicacidGluconateConsumptionimport
gender,PhenolConsumptionimport
gender,DNARNAPolynucleotideMacromoleculedegradation
gender,L-SorboseSorboseConsumptionimport
phenotype,BiotinVitaminB7Productionexport
gender,MethanolConsumptionimport
gender,ThiamineVitaminB1ThiaminProductionexport
gender,Propanoln-propanol1-PropanolProductionexport
gender,GlycocholateConsumptionimport
gender,H2SHS-Productionexport
gender,L-LactateS-LactateLactateD-LactateR-LactateProductionexport
gender,MethanolProductionexport
gender,LinoleicacidOmega-6fattyacidProductionexport
gender,Eggerthella
phenotype,Isovalerate3-MethylbutanoicacidProductionexport
gender,Propionibacterium
phenotype,TyramineProductionexport
phenotype,AcetateProductionexport
gender,MenaquinoneVitaminK2Productionexport
gender,Acidaminococcus
gender,L-ArginineArginineConsumptionimport
phenotype,13-PropanediolProductionexport
phenotype,N2Consumptionimport
phenotype,Acidaminococcus
gender,CholicacidCholateProductionexport
gender,Veillonella
phenotype,Tyzzerella
gender,TyramineConsumptionimport
gender,Dorea
phenotype,Isobutyrate2-MethylpropanoicacidProductionexport
gender,PantothenicacidVitaminB5PantothenateConsumptionimport
phenotype,Veillonella
gender,Dialister
phenotype,Peptostreptococcus
phenotype,PantothenicacidVitaminB5PantothenateConsumptionimport
gender,16
phenotype,L-AspartateAspartateD-AspartateConsumptionimport
gender,Parabacteroides
phenotype,DimethylamineProductionexport
phenotype,TrimethylamineProductionexport
phenotype,L-ThreonineThreonineConsumptionimport
gender,TrimethylamineConsumptionimport
gender,PutrescineProductionexport
phenotype,AlginateMacromoleculedegradation
gender,Propanoln-propanol1-PropanolConsumptionimport
phenotype,4-AminobutyrateGABAProductionexport
gender,ChenodeoxycholicacidChenodeoxycholateConsumptionimportproductionexport
gender,LithocholicacidProductionexport
phenotype,PutrescineProductionexport
phenotype,Roseburia
phenotype,Anaerostipes
phenotype,Solobacterium
gender,Segatella
phenotype,ChenodeoxycholicacidChenodeoxycholateConsumptionimportproductionexport
gender,L-GlutamineD-GlutamineGlutamineConsumptionimport
gender,Akkermansia
phenotype,L-TyrosineTyrosineConsumptionimport
gender,182
phenotype,AcetateConsumptionimportproductionexport
gender,RiboflavinVitaminB2Productionexport
gender,PectinMacromoleculedegradation
gender,BicarbonateHCO3-H2CO3CarbonicacidCarbonateConsumptionimport
gender,11
gender,L-MethionineD-MethionineConsumptionimport
phenotype,D-FructuronateConsumptionimport
gender,L-ThreonineThreonineProductionexport
gender,LinoleicacidOmega-6fattyacidConsumptionimport
phenotype,182
phenotype,DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport
phenotype,GlycodeoxycholateConsumptionimport
gender,GlycerolConsumptionimport
phenotype,BicarbonateHCO3-H2CO3CarbonicacidCarbonateConsumptionimport
gender,D-TuranoseConsumptionimport
gender,L-ArabitolL-ArabinitolD-ArabitolConsumptionimport
gender,XOSXylooligosaccharideConsumptionimport
phenotype,TrimethylamineN-oxideTrimethylamine-N-oxideProductionexport
phenotype,GlycerolConsumptionimport
gender,Barnesiella
gender,GalactanMacromoleculedegradation
gender,Mediterraneibacter
gender,Chondroitin4-sulfateChondroitin6-sulfateMacromoleculedegradation
gender,H2O2Productionexport
phenotype,GalactanMacromoleculedegradation
gender,FormaldehydeProductionexport
gender,Schaalia
gender,6
gender,Intestinibacter
gender,24
gender,PolypeptideMacromoleculedegradation
gender,Alistipes
gender,L-IdonateConsumptionimport
gender,Bilophila
gender,CO2Productionexport
gender,InosineConsumptionimport
gender,MaltoseConsumptionimport
phenotype,L-IsoleucineIsoleucineConsumptionimport
gender,N-Acetyl-D-GlucosamineN-AcetylglucosamineConsumptionimport
phenotype,Streptococcus
gender,RaffinoseConsumptionimport
phenotype,D-MannoseMannoseConsumptionimport
phenotype,60
phenotype,CO2Productionexport
phenotype,Escherichia
phenotype,MaltoseConsumptionimport
gender,RiboflavinVitaminB2Consumptionimport
phenotype,D-XyloseXyloseConsumptionimport
gender,NitrateConsumptionimport
phenotype,RaffinoseConsumptionimport
gender,Phascolarctobacterium
phenotype,AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimportproductionexport
gender,1
gender,10
phenotype,ThiosulfateConsumptionimport
gender,L-HistidineHistidineConsumptionimport
gender,UreaConsumptionimport
gender,19
gender,Lactobacillus
phenotype,19
gender,SuccinateConsumptionimportproductionexport
gender,Blautia
phenotype,ButyrateConsumptionimport
phenotype,Porphyromonas
phenotype,Lactobacillus
phenotype,MelibioseConsumptionimport
gender,Rothia
gender,L-LactateS-LactateLactateD-LactateR-LactateConsumptionimport
phenotype,FormateConsumptionimport
gender,ButanolConsumptionimport
phenotype,D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport
phenotype,Eubacterium
gender,D-MannitolMannitolConsumptionimport
phenotype,SuccinateConsumptionimportproductionexport
gender,BenzoateConsumptionimport
gender,Enterococcus
gender,CO2Consumptionimportproductionexport
phenotype,SuccinateConsumptionimport
phenotype,Agathobacter
gender,5
phenotype,RR-23-ButanediolRR-ButanediolSS-23-ButanediolSS-ButanediolConsumptionimportproductionexport
gender,14
phenotype,CO2Consumptionimportproductionexport
gender,L-CysteineCysteineD-CysteineConsumptionimport
gender,IndoleConsumptionimport
gender,L-LactateS-LactateLactateD-LactateR-LactateConsumptionimportproductionexport
phenotype,UreaProductionexport
phenotype,14
gender,NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimport
phenotype,L-CysteineCysteineD-CysteineConsumptionimport
gender,BetaineGlycinebetaineConsumptionimport
phenotype,Anaerobutyricum
phenotype,PhenylethylamineProductionexport
phenotype,L-TryptophanTryptophanConsumptionimport
phenotype,MethylamineMonomethylamineConsumptionimport
gender,DeoxycholicacidProductionexport
phenotype,NiacinVitaminB3NicotinicacidNicotinateNicotinamideVitaminB3Consumptionimport
phenotype,Anaerotruncus
gender,IsomaltoseConsumptionimport
phenotype,AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIProductionexport
phenotype,Holdemanella
phenotype,Lacticaseibacillus
phenotype,IsomaltoseConsumptionimport
phenotype,Lactococcus
phenotype,PyruvateProductionexport
gender,0
phenotype,PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport
gender,Adlercreutzia
phenotype,IndoleProductionexport
gender,FolicacidFolateVitaminB9Consumptionimport
gender,12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport
gender,D-GalacturonateConsumptionimport
phenotype,0
gender,Phocaeicola
phenotype,N-Acetyl-D-mannosamineConsumptionimport
phenotype,18
phenotype,12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport
gender,N-AcetylneuraminicacidN-acetylneuraminateNeu5AcSialicacidConsumptionimport
phenotype,MethylamineMonomethylamineProductionexport
phenotype,Faecalitalea
gender,L-PhenylalaninePhenylalanineD-PhenylalanineConsumptionimport
phenotype,ThiamineVitaminB1ThiaminConsumptionimport
phenotype,Catenibacterium
phenotype,TaurocholateConsumptionimport
gender,DimethylamineConsumptionimport
gender,cis-Aconitatetrans-Aconitatetrans-AconiticacidConsumptionimport
gender,RiboflavinVitaminB2Consumptionimportproductionexport
gender,Ruminococcus
phenotype,GlycochenodeoxycholateConsumptionimport
gender,Indole-3-acetateIndoleacetateConsumptionimportproductionexport
gender,Parvimonas
phenotype,148
phenotype,DimethylamineConsumptionimport
gender,D-GluconateD-GluconicacidGluconateConsumptionimport
phenotype,EthanolConsumptionimport
phenotype,RiboflavinVitaminB2Consumptionimportproductionexport
phenotype,Ruminococcus
phenotype,4
phenotype,ChenodeoxycholicacidChenodeoxycholateProductionexport
phenotype,13
phenotype,22
phenotype,ThiamineVitaminB1ThiaminConsumptionimportproductionexport
phenotype,CO2Consumptionimport
gender,Lancefieldella
phenotype,Haemophilus
gender,Isovalerate3-MethylbutanoicacidProductionexport
gender,TyramineProductionexport
gender,Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport
phenotype,N-AcetylgalactosamineN-Acetyl-D-galactosamineConsumptionimport
gender,AcetateProductionexport
phenotype,HyaluronanHyaluronateHyaluronicacidMacromoleculedegradation
phenotype,Lancefieldella
gender,FOSFructooligosaccharideConsumptionimport
phenotype,L-LeucineLeucineConsumptionimport
phenotype,Inositolmyo-InositolInositol1-phosphateMyo-inositolphosphateConsumptionimport
gender,Sutterella
phenotype,PyruvateConsumptionimport
phenotype,Coprobacter
phenotype,alpha-LinolenicacidOmega-3fattyacidConsumptionimport
gender,13-PropanediolProductionexport
phenotype,FOSFructooligosaccharideConsumptionimport
phenotype,ButylamineProductionexport
gender,N2Consumptionimport
phenotype,Lachnospira
phenotype,NH3AmmoniaNH4AmmoniumConsumptionimportproductionexport
phenotype,Sutterella
gender,Tyzzerella
phenotype,L-LysineLysineD-LysineConsumptionimport
gender,Isobutyrate2-MethylpropanoicacidProductionexport
phenotype,17
gender,Peptostreptococcus
phenotype,OxaloacetateConsumptionimport
gender,L-AspartateAspartateD-AspartateConsumptionimport
phenotype,Methanosphaera
gender,DimethylamineProductionexport
gender,TrimethylamineProductionexport
phenotype,AcetateConsumptionimport
gender,L-ThreonineThreonineConsumptionimport
phenotype,IsethionateConsumptionimport
gender,AlginateMacromoleculedegradation
gender,4-AminobutyrateGABAProductionexport
phenotype,XylitolConsumptionimport
phenotype,Mitsuokella
gender,Roseburia
gender,Anaerostipes
gender,Solobacterium
phenotype,3
phenotype,12
gender,L-TyrosineTyrosineConsumptionimport
gender,AcetateConsumptionimportproductionexport
phenotype,CadaverineProductionexport
phenotype,LactoseConsumptionimport
gender,D-FructuronateConsumptionimport
gender,DextrinMaltotrioseMaltodextrinMaltohexaoseMaltotetraoseMaltooligosaccharideConsumptionimport
gender,GlycodeoxycholateConsumptionimport
phenotype,CholicacidCholateConsumptionimportproductionexport
gender,TrimethylamineN-oxideTrimethylamine-N-oxideProductionexport
phenotype,Butyrivibrio
phenotype,D-TagaturonateConsumptionimport
phenotype,Thomasclavelia
phenotype,Clostridium
phenotype,HemicelluloseMacromoleculedegradation
phenotype,Turicibacter
gender,ValeratePentanoicacidPentanoateProductionexport
phenotype,Leuconostoc
gender,CholicacidCholateConsumptionimport
phenotype,L-FucoseConsumptionimport
phenotype,ValeratePentanoicacidPentanoateProductionexport
phenotype,Pseudoflavonifractor
phenotype,CholicacidCholateConsumptionimport
gender,L-IsoleucineIsoleucineConsumptionimport
phenotype,Isovalerate3-MethylbutanoicacidConsumptionimport
gender,Streptococcus
gender,D-MannoseMannoseConsumptionimport
gender,60
gender,Escherichia
gender,D-GlucosamineGlucosamineConsumptionimport
phenotype,L-SerineSerineD-SerineConsumptionimport
phenotype,L-GlutamateL-GlutamicacidGlutamateD-GlutamateConsumptionimport
phenotype,StachyoseConsumptionimport
gender,D-XyloseXyloseConsumptionimport
phenotype,Coprococcus
phenotype,D-GlucosamineGlucosamineConsumptionimport
phenotype,L-MalateS-MalateL-MalicacidMalateD-MalateR-MalateConsumptionimport
gender,AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIConsumptionimportproductionexport
gender,ThiosulfateConsumptionimport
gender,D-PsicoseConsumptionimport
phenotype,L-ValineValineD-ValineConsumptionimport
phenotype,L-RhamnoseRhamnoseD-RhamnoseConsumptionimport
phenotype,D-PsicoseConsumptionimport
phenotype,StarchAmylopectinAmylose14-alpha-D-GlucanPullulanResistantstarchMacromoleculedegradation
gender,TaurolithocholateConsumptionimport
phenotype,SuccinateProductionexport
phenotype,SucroseConsumptionimport
gender,ButyrateConsumptionimport
gender,Porphyromonas
gender,MelibioseConsumptionimport
phenotype,TaurolithocholateConsumptionimport
gender,ThymidineConsumptionimport
gender,FormateConsumptionimport
gender,D-SorbitolD-GlucitolSorbitolGlucitolL-SorbitolSorbitolConsumptionimport
gender,Eubacterium
phenotype,FructanInulinLevanMacromoleculedegradation
phenotype,ButyrateProductionexport
gender,CholineConsumptionimport
gender,SuccinateConsumptionimport
phenotype,ThymidineConsumptionimport
phenotype,TaurineConsumptionimport
gender,Agathobacter
phenotype,L-AsparagineAsparagineConsumptionimport
phenotype,ValeratePentanoicacidPentanoateConsumptionimport
gender,RR-23-ButanediolRR-ButanediolSS-23-ButanediolSS-ButanediolConsumptionimportproductionexport
phenotype,CholineConsumptionimport
gender,Flavonifractor
phenotype,ErythritolConsumptionimport
phenotype,Methanobrevibacter
gender,UreaProductionexport
phenotype,Hungatella
phenotype,D-GlucoseGlucoseConsumptionimport
phenotype,Flavonifractor
gender,Anaerobutyricum
gender,PhenylethylamineProductionexport
gender,L-TryptophanTryptophanConsumptionimport
gender,D-GalactosamineGalactosamineConsumptionimport
phenotype,MethaneCH4Productionexport
gender,MethylamineMonomethylamineConsumptionimport
gender,Anaerotruncus
gender,AdenosylcobalaminVitaminB12CobamidecoenzymeCobIIalaminVitaminB12rCobIalaminVitaminB12sAquacobalaminCobalaminIIIProductionexport
gender,Holdemanella
phenotype,D-GalactosamineGalactosamineConsumptionimport
gender,Lacticaseibacillus
phenotype,FolicacidFolateVitaminB9Productionexport
gender,Holdemania
gender,Lactococcus
gender,PyruvateProductionexport
phenotype,GlycolithocholateConsumptionimport
phenotype,D-FructoseFructoseConsumptionimport
gender,PyridoxalVitaminB6PyridoxinePyridoxamineVitaminB6Consumptionimport
gender,IndoleProductionexport
phenotype,D-RiboseRiboseConsumptionimport
phenotype,Holdemania
phenotype,Isobutyrate2-MethylpropanoicacidConsumptionimport
gender,N-Acetyl-D-mannosamineConsumptionimport
Catenibacterium,100886
Solobacterium,102148
Pseudoflavonifractor,106588
Coprobacter,1099853
Enorma,1118060
Streptococcus,113107
Coprococcus,116085
Ruminococcus,1161942
Leuconostoc,1245
Ruminococcus,1264
Alistipes,1288121
Streptococcus,1302
Streptococcus,1304
Streptococcus,1305
Streptococcus,1308
Streptococcus,1309
Streptococcus,1318
Streptococcus,1328
Streptococcus,1343
Enterococcus,1351
Enterococcus,1352
Lactococcus,1358
Lancefieldella,1382
Lachnoclostridium,1512
Thomasclavelia,1522
Enterocloster,1531
Hungatella,154046
Turicibacter,154288
Thomasclavelia,1547
Lacticaseibacillus,1582
Lactobacillus,1584
Lactobacillus,1596
Segatella,165179
Schaalia,1660
Roseburia,166486
Bifidobacterium,1680
Bifidobacterium,1681
Bifidobacterium,1686
Bifidobacterium,1689
Anaerotruncus,169435
Holdemanella,1735
Propionibacterium,1744
Acidaminococcus,187327
Phocaeicola,204516
Enterocloster,208479
Alistipes,214856
Bifidobacterium,216816
Methanobrevibacter,2173
Dialister,218538
Methanosphaera,2317
Akkermansia,239935
Bacteroides,246787
Intestinibacter,261299
Bifidobacterium,28025
Bifidobacterium,28026
Streptococcus,28037
Bacteroides,28111
Bacteroides,28116
Alistipes,28117
Odoribacter,28118
Porphyromonas,28123
Bacteroides,291644
Bacteroides,291645
Flavonifractor,292800
Tyzzerella,29361
Gemella,29391
Veillonella,29466
Roseburia,301301
Phocaeicola,310297
Phocaeicola,310298
Porphyromonas,322095
Parabacteroides,328812
Alistipes,328813
Alistipes,328814
Bacteroides,329854
Parvimonas,33033
Blautia,33035
Mediterraneibacter,33038
Mediterraneibacter,33039
Enterocloster,333367
Bacteroides,338188
Peptostreptococcus,341694
Phocaeicola,357276
Bilophila,35833
Enterocloster,358743
Roseburia,360807
Leyella,363265
Bacteroides,371601
Phocaeicola,387090
Parabacteroides,387661
Faecalitalea,39483
Lachnospira,39485
Dorea,39486
Anaerobutyricum,39488
Eubacterium,39490
Agathobacter,39491
Eubacterium,39496
Veillonella,39777
Veillonella,39778
Ruminococcus,40518
Ruminococcus,40519
Blautia,40520
Sutterella,40545
Coprococcus,410072
Clostridium,411489
Rothia,43675
Adlercreutzia,446660
Paraprevotella,454154
Paraprevotella,454155
Ruminococcus,457412
Butyrivibrio,45851
Granulicatella,46124
Mediterraneibacter,46228
Parabacteroides,46503
Bacteroides,46506
Gordonibacter,471189
Bacteroides,47678
Dialister,487173
Barnesiella,487174
Parasutterella,487175
Mitsuokella,52226
Enterococcus,53345
Blautia,53443
Escherichia,562
Klebsiella,573
Holdemania,61171
Bacteroides,626929
Alistipes,626932
Collinsella,626935
Phascolarctobacterium,626940
Anaerostipes,649756
Bacteroides,674529
Streptococcus,68892
Haemophilus,729
Collinsella,74426
Bacteroides,817
Bacteroides,818
Bacteroides,820
Phocaeicola,821
Parabacteroides,823
Eggerthella,84112
Gemella,84135
Fusobacterium,851
Faecalibacterium,853
Desulfovibrio,876
Dorea,88431
Desulfovibrio,901
Acidaminococcus,905
13,113107
1,1161942
2,1264
13,1302
13,1304
13,1305
4,1308
13,1309
13,1318
13,1328
13,1343
148,1351
6,1352
4,1358
19,1382
